TileIndex,Red,Green,Blue
554,138,117,112
555,129,107,95
556,175,173,175
557,65,59,53
558,90,90,90
559,62,50,54
560,134,129,139
561,63,53,56
562,121,98,57
563,154,51,75
564,124,126,131
565,94,119,137
566,126,132,135
567,163,119,79
568,145,135,125
569,191,174,155
570,214,204,200
571,163,155,143
572,132,123,117
573,162,149,125
574,132,120,108
575,95,95,95
576,134,133,123
577,123,104,74
578,36,38,19
579,157,148,140
580,74,71,78
581,205,205,205
582,78,77,75
583,118,105,119
584,151,151,151
585,145,82,80
586,11,98,30
587,160,155,152
588,133,132,137
589,180,181,176
590,134,129,139
591,120,93,64
592,96,111,129
593,56,42,70
594,46,46,46
595,92,124,106
596,194,202,216
597,171,171,171
598,92,124,106
599,173,179,173
600,138,131,95
601,145,157,170
602,190,198,199
603,171,165,156
604,194,202,216
605,87,78,80
606,161,168,170
607,214,214,214
608,48,62,67
609,118,107,98
610,143,143,131
611,93,67,108
612,231,201,191
613,74,101,114
614,56,42,70
615,92,134,143
616,142,169,168
617,156,144,151
618,118,112,116
619,154,96,65
620,179,177,171
621,139,120,107
622,138,123,115
623,170,159,142
624,126,125,112
625,162,163,168
626,63,45,40
627,162,155,147
628,203,170,132
629,122,113,99
630,137,137,137
631,161,157,144
632,49,51,39
633,59,77,71
634,112,98,86
635,167,182,182
636,96,86,88
637,200,218,230
638,170,167,163
639,14,63,65
640,115,136,154
641,46,112,164
642,162,162,162
643,51,58,75
644,135,124,114
645,120,102,90
646,87,70,54
647,112,104,103
648,137,113,94
649,97,97,93
650,132,133,72
651,167,161,155
652,173,179,186
653,47,47,47
654,121,117,107
655,141,136,121
656,151,128,118
657,200,193,178
658,187,195,194
659,173,164,151
660,160,141,138
661,103,106,102
662,38,49,58
663,117,152,172
664,200,218,230
665,124,135,129
666,95,95,95
667,115,109,112
668,167,156,164
669,197,180,173
670,179,170,173
671,165,102,80
672,115,146,152
673,86,89,107
674,88,107,104
675,75,87,108
676,84,100,123
677,150,93,43
678,139,152,161
679,133,133,133
680,87,97,107
681,143,143,145
682,101,97,91
683,131,131,131
684,86,84,74
685,126,132,135
686,123,137,137
687,50,77,98
688,195,195,195
689,151,128,118
690,209,187,168
691,140,121,104
692,164,199,217
693,142,90,67
694,167,126,107
695,153,169,173
696,144,111,91
697,215,208,202
698,81,91,102
699,183,126,49
700,104,99,95
701,83,83,83
702,145,144,123
703,156,156,156
704,96,118,94
705,194,202,216
706,94,79,42
707,123,114,100
708,97,91,63
709,134,115,73
710,156,152,129
711,97,93,82
712,61,70,70
713,115,148,155
714,173,190,206
715,113,94,89
716,195,204,201
717,65,59,53
718,117,99,87
719,132,127,134
720,184,192,193
721,62,81,63
722,117,127,151
723,133,135,129
724,126,101,106
725,156,145,159
726,132,143,155
727,135,124,114
728,163,173,181
729,197,180,173
730,106,108,93
731,32,50,68
732,186,182,178
733,13,38,47
734,90,90,90
735,98,118,117
736,138,117,112
737,146,145,148
738,166,154,127
739,109,138,117
740,144,111,91
741,139,141,152
742,145,162,153
743,93,106,109
744,113,111,109
745,149,145,136
746,169,162,143
747,149,162,168
748,29,26,27
749,135,148,155
750,44,57,37
751,148,141,135
752,117,131,127
753,29,27,17
754,66,74,62
755,157,154,148
756,62,53,62
757,123,116,93
758,59,59,59
759,58,67,74
760,186,182,178
761,173,138,112
762,134,139,154
763,71,71,75
764,139,141,152
765,154,147,135
766,134,134,130
767,185,177,146
768,129,113,101
769,70,87,69
770,133,132,137
771,94,79,42
772,132,132,132
773,111,71,46
774,149,155,147
775,153,121,103
776,61,88,83
777,230,230,230
778,133,113,83
779,177,188,194
780,125,99,83
781,153,169,175
782,191,192,192
783,89,137,169
784,88,122,90
785,148,148,148
786,8,76,31
787,120,113,121
788,101,101,101
789,72,63,64
790,43,79,131
791,109,126,124
792,151,152,148
793,129,132,133
794,154,157,158
795,87,70,54
796,111,120,116
797,89,69,52
798,92,101,98
799,81,73,77
800,161,161,161
801,118,120,115
802,195,204,201
803,107,136,129
804,162,161,138
805,137,113,94
806,115,158,147
807,106,144,176
808,140,128,105
809,188,188,191
810,190,198,199
811,40,76,93
812,98,107,109
813,88,101,103
814,150,170,158
815,122,132,109
816,220,220,220
817,165,123,105
818,135,135,135
819,129,130,124
820,101,103,101
821,154,154,145
822,66,68,71
823,86,78,74
824,200,166,141
825,165,164,157
826,148,148,148
827,64,86,100
828,116,105,108
829,191,202,204
830,150,155,149
831,55,63,65
832,90,90,90
833,104,109,112
834,171,165,156
835,131,93,75
836,119,119,120
837,63,67,61
838,170,167,163
839,83,101,93
840,100,102,119
841,101,101,101
842,147,131,115
843,130,136,120
844,205,179,156
845,56,73,81
846,53,48,50
