TileIndex,Red,Green,Blue
1380,87,86,40
1381,84,80,60
1382,71,68,48
1383,90,89,62
1384,106,103,67
1385,23,20,11
1386,67,60,43
1387,96,86,65
1388,160,145,110
1389,93,90,41
1390,90,89,26
1391,125,125,39
1392,92,87,43
1393,91,81,55
1394,121,111,77
1395,121,108,62
1396,140,127,76
1397,209,176,145
1398,165,144,108
1399,95,88,59
1400,91,75,54
1401,135,114,75
1402,169,154,96
1403,188,161,130
1404,225,191,161
1405,190,159,134
1406,169,137,112
1407,135,116,86
1408,197,174,81
1409,235,216,65
1410,224,205,32
1411,222,198,42
1412,220,203,59
1413,162,145,43
1414,115,101,44
1415,109,101,49
1416,109,101,47
1417,110,105,49
1418,101,96,46
1419,107,97,49
1420,125,110,84
1421,129,116,96
1422,180,157,126
1423,161,145,96
1424,183,164,123
1425,189,177,89
1426,192,184,71
1427,199,188,73
1428,176,169,60
1429,187,177,97
1430,203,192,123
1431,198,189,109
1432,104,102,55
1433,31,26,25
1434,159,149,114
1435,159,152,93
1436,142,131,70
1437,114,100,59
1438,85,75,40
1439,69,63,33
1440,41,44,21
1441,123,119,97
1442,67,65,51
1443,53,51,38
1444,141,130,78
1445,176,149,103
1446,184,155,123
1447,173,144,112
1448,139,116,84
1449,92,80,54
1450,41,38,17
1451,42,34,19
1452,77,64,35
1453,114,100,62
1454,112,101,53
1455,122,104,76
1456,155,141,114
1457,153,133,101
1458,122,106,71
1459,106,87,60
1460,152,123,76
1461,130,106,61
1462,117,99,72
1463,148,125,97
1464,172,142,116
1465,170,140,101
1466,167,140,90
1467,197,169,94
1468,222,197,53
1469,229,211,33
1470,190,167,32
1471,155,132,28
1472,171,149,32
1473,164,150,40
1474,131,112,55
1475,108,94,34
1476,110,105,43
1477,112,109,50
1478,109,102,51
1479,117,101,55
1480,132,110,69
1481,131,113,75
1482,118,104,65
1483,93,78,40
1484,167,152,88
1485,206,191,169
1486,212,203,179
1487,217,199,187
1488,208,197,183
1489,214,201,196
1490,215,206,198
1491,184,174,150
1492,174,163,117
1493,209,189,167
1494,215,196,143
1495,130,125,56
1496,95,84,45
1497,29,22,11
1498,45,36,18
1499,104,96,49
1500,52,39,20
1501,80,71,45
1502,67,57,40
1503,95,86,70
1504,168,162,147
1505,174,156,145
1506,113,95,78
1507,90,69,51
1508,108,96,65
1509,87,78,51
1510,86,79,46
1511,112,96,53
1512,108,92,55
1513,102,90,52
1514,108,93,52
1515,118,98,59
1516,135,115,78
1517,146,130,96
1518,119,109,67
1519,120,109,70
1520,153,144,71
1521,180,165,82
1522,204,185,121
1523,221,193,153
1524,215,193,150
1525,211,184,149
1526,195,165,139
1527,212,173,152
1528,204,167,127
1529,171,151,57
1530,147,135,47
1531,100,93,26
1532,85,75,24
1533,92,84,46
1534,159,137,57
1535,147,128,53
1536,133,119,55
1537,132,117,59
1538,110,94,45
1539,108,89,51
1540,120,100,66
1541,119,99,74
1542,95,80,54
1543,80,67,50
1544,121,112,61
1545,196,179,155
1546,226,203,188
1547,219,197,185
1548,203,189,180
1549,203,190,182
1550,212,193,185
1551,193,174,149
1552,181,163,132
1553,205,184,164
1554,232,206,182
1555,114,99,76
1556,52,43,28
1557,119,115,51
1558,128,123,56
1559,93,93,28
1560,95,84,60
1561,120,111,97
1562,124,110,101
1563,110,108,92
1564,118,115,94
1565,122,112,88
1566,117,104,86
1567,131,107,85
1568,152,133,120
1569,130,119,110
1570,136,121,100
1571,117,102,47
1572,104,90,38
1573,99,87,43
1574,102,89,57
1575,109,98,62
1576,104,93,47
1577,111,105,60
1578,127,118,77
1579,141,129,89
1580,155,145,89
1581,185,171,112
1582,213,190,149
1583,218,196,157
1584,203,188,131
1585,191,177,113
1586,181,166,116
1587,176,155,105
1588,141,121,75
1589,98,82,48
1590,91,80,55
1591,84,66,40
1592,100,83,34
1593,124,111,56
1594,122,111,43
1595,116,104,33
1596,131,115,61
1597,166,148,118
1598,167,152,126
1599,154,136,113
1600,133,118,96
1601,107,93,63
1602,106,93,60
1603,85,71,50
1604,88,78,55
1605,178,161,148
1606,177,154,141
1607,150,131,107
1608,134,118,105
1609,165,150,143
1610,169,152,150
1611,127,110,90
1612,134,115,96
1613,196,177,159
1614,194,171,147
1615,92,76,52
1616,142,131,61
1617,145,141,43
1618,59,55,21
1619,27,25,9
1620,83,70,38
1621,62,49,35
1622,86,69,55
1623,75,58,42
1624,113,92,72
1625,130,110,87
1626,202,174,151
1627,168,147,124
1628,110,97,79
1629,84,69,47
1630,111,99,65
1631,101,91,42
1632,95,88,44
1633,103,88,39
1634,107,91,41
1635,106,92,41
1636,116,103,49
1637,131,121,46
1638,129,116,48
1639,136,125,64
1640,143,132,74
1641,176,165,100
1642,207,189,141
1643,225,199,165
1644,189,175,125
1645,164,156,102
1646,172,157,127
1647,176,155,121
1648,183,163,112
1649,180,160,70
1650,173,147,76
1651,168,144,76
1652,160,136,53
1653,141,124,45
1654,139,126,59
1655,131,114,55
1656,115,96,44
1657,109,90,48
1658,113,98,53
1659,126,104,63
1660,125,107,70
